name,phone_number,address,city,state,country,zipcode,description,amenities,rating,longitude,latitude
Super 8,(866) 573-4235,30954 S Highway 69,Vinita,Oklahoma,United States of America,74301,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","Pool, Air Conditioning, WiFi",2,-95.218432,36.569119
Casa Munras Garden Hotel & Spa,(831) 375-2411,700 Munras Avenue,Monterey,California,United States of America,93940,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, Pool, Spa, TV, Air Conditioning, Sound Proof",3,-121.893821,36.595193
Microtel Inn & Suites,(830) 557-4409,1175 North Business 35,New Braunfels,Texas,United States of America,78130,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning",2,-98.097363,29.701472
Hampton Inn Oceanfront Jacksonville Beach,(904) 241-2311,1515 First Street North,Jacksonville Beach,Florida,United States of America,32250,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Balcony",3,-81.391839,30.303051
El Royale Hotel,(323) 706-2737,11117 Ventura Blvd,Los Angeles,California,United States of America,91604,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Sound Proof",4,-118.372466,34.142035
Days Inn by Wyndham Glendale Los Angeles,(818) 945-0693,450 West Pioneer Drive,Los Angeles,California,United States of America,91203,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Balcony, Bathtub, Pool",3,-118.26366,34.154744
Mossbrae Hotel,(530) 235-7019,5734 Dunsmuir Avenue,Dunsmuir,California,United States of America,96025,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Bathtub",3,-122.271525,41.211399
Hotel Glenpool,(918) 518-6000,12137 Casper Street,Glenpool,Oklahoma,United States of America,74037,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Bathtub",3,-96.010165,35.986977
White River Inn,(970) 878-5031,"219 East Market Street, Meeker",Meeker,Colorado,United States of America,81641,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Bathtub, Barbecue",2,-107.904644,40.038149
Log Inn Bonners Ferry,(208) 267-3986,43 Tobe Way,Bonners Ferry,Idaho,United States of America,83805,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning",2,-116.303507,48.727429
Mandarin Oriental,(866) 599-6674,500 Brickell Key Dr,Miami,Florida,United States of America,33131,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","WiFi, TV, Air Conditioning, Balcony, Bathtub, Pool",5,-80.1853,25.76533
