name,phone_number,address,city,state,country,zipcode,description,amenities,rating,longitude,latitude
Super 8,(866) 573-4235,30954 S Highway 69,Vinita,Oklahoma,United States of America,74301,"Visit Big Cabin and Vinita Enjoy Grand Lake and quick access to Tulsa International Airport (TUL)Conveniently located off I-44 and Highway 69, our Super 8 Big Cabin/Vinita Area hotel makes a comfortable home base for the whole family. We are pleased to offer easy access to nearby Tulsa, as well as local attractions and destinations.","Pool, Air Conditioning, WiFi",0,-95.218432,36.569119
Casa Munras Garden Hotel & Spa,(831) 375-2411,700 Munras Avenue,Monterey,California,United States of America,93940,"Retreat to a historic Hacienda-Style hotel in Monterey Bay
Located in Monterey's heritage district, Casa Munras Garden Hotel & Spa is a gracious haven in the heart of downtown. Picturesque grounds, hacienda-style buildings, and newly reimagined guestrooms pay homage to Northern California's bounty and Spanish heritage. Gather for meals at Estéban Restaurant and savor Spanish-California cuisine featuring fresh, locally sourced ingredients and an outdoor patio with a fire pit. Lounge by the outdoor pool or rent a bike to explore Cannery Row and Fisherman's Wharf. Refresh with a treatment at our full-service spa and unwind in our outdoor hot tub. Enjoy a host of thoughtful amenities designed for your comfort and convenience, including an electric car charging station and 24-hour business center. Whether traveling for a getaway or for business in Northern California, Casa Munras Garden Hotel & Spa is the ideal hotel retreat in Monterey Bay.
","WiFi, Pool, Spa, TV, Air Conditioning, Sound Proof",0,-121.893821,36.595193
Microtel Inn & Suites,(830) 557-4409,1175 North Business 35,New Braunfels,Texas,United States of America,78130,"Worthy Stay in New Braunfels
Close to Schlitterbahn Water Park, the Guadalupe River, and Canyon Lake.
Treat yourself to a quality, pleasant stay when you make a reservation at our Microtel Inn & Suites by Wyndham New Braunfels hotel. Located close to I-35, our hotel is less than an hour from San Antonio. Our clean and accommodating guest rooms were designed with your comfort in mind, featuring thoughtful amenities to brighten your stay.
","WiFi, TV, Air Conditioning",0,-98.097363,29.701472
Hampton Inn Oceanfront Jacksonville Beach,(904) 241-2311,1515 First Street North,Jacksonville Beach,Florida,United States of America,32250,"Discover the magic of the Hampton Inn Jacksonville Beach/Oceanfront hotel. Enjoy our signature pool and Tides Beach Bar and Grill, or take advantage of our private beach access, a variety of water activities and more.

Our great value Jacksonville hotel on the beach is proud to offer guests more to love. All of our guest rooms and suites come equipped with a mini-refrigerator, microwave, 32-inch flat-screen TV and free high-speed wireless Internet access. The majority of our rooms also offer a private balcony.

Take advantage of hotel’s fine amenities including the largest pool on the beach - a 120-foot heated, lagoon-style pool and whirlpool grotto with four waterfalls. Recharge with a free hot breakfast buffet, or consider an afternoon drink and light meal at our Tides Beach Bar and Grill overlooking the ocean.

Still searching oceanfront hotels in Jacksonville, FL? Our prime address is easily accessible from Jacksonville International Airport (JAX), downtown, the Mayo Clinic, Mayport Naval Station, University of North Florida and Blount Island Military Base. Guests on break can take advantage of nearby sunbathing, water sports, shopping, dining and golf. For a getaway or business trip, Jacksonville Beach brings you top notch recreation and relaxation.

","WiFi, TV, Air Conditioning, Balcony",0,-81.391839,30.303051
El Royale Hotel,(323) 706-2737,11117 Ventura Blvd,Studio City,California,United States of America,91604,"The El Royale is a charming and intimate boutique hotel with a rich Hollywood history tucked in to the base of the Hollywood Hills.

We’re close to the Bob Hope Burbank Airport, the iconic Hollywood sign, Universal Studios Hollywood, Warner Brothers Studios, the Gibson Amphitheatre, CBS Studio Center, NBC Studios, the Hollywood Walk of Fame, the Griffith Park Observatory, and the Hollywood Bowl.

We’re also near many other attractions and businesses connected with the creative worlds of film, television, and music.

","WiFi, TV, Air Conditioning, Sound Proof",0,-118.372466,34.142035
Days Inn by Wyndham Glendale Los Angeles,(818) 945-0693,450 West Pioneer Drive,Glendale,California,United States of America,91203,"Our Days Inn Glendale hotel is the affordable place to stay for vacation or business, located near the junction of I-5, Ventura Freeway 134, Highway 2 and I-210. Located close to Hollywood Burbank Airport (BUR). While you’re here, discover the heartbeat of LA: tour Universal Studios, visit Disneyland, stroll through Griffith Park, or find thrills at Knotts Berry Farm theme park. Embrace the sound of Pacific Ocean waves and sand between your toes, or search through a plethora of boutiques and shops at The Americana or The Galleria shopping centers.
","WiFi, TV, Air Conditioning, Balcony, Bathtub, Pool",0,-118.26366,34.154744
Mossbrae Hotel,(530) 235-7019,5734 Dunsmuir Avenue,Dunsmuir,California,United States of America,96025,"If you're looking for a luxury hotel in the heart of Dunsmuir's historic district, Mossbrae Hotel, (named after our famous Mossbrae Falls) is the one to choose. Simultaneously old and new, the hotel  honors the past and embraces the future. On premises is the iconic Ted Fay Fly Shop, an old school institution that defies time. Down the street is Cafe Maddalena, perhaps the best restaurant in all of far northern California. Across the street is the local brewpub. Kitty corner from us is Sengthongs Blue Sky Room ready to blow your nostalgic mind. You get the picture. Join us for a little La Vida Loca. Let us create an experience for you that is diverse, unique and real. We look forward to welcoming you to Mossbrae Hotel. When you look at nearby hotels, the history, adventure and luxury at Mossbrae is second to none.
","WiFi, TV, Air Conditioning, Bathtub",0,-122.271525,41.211399
Hotel Glenpool,(918) 518-6000,12137 Casper Street,Glenpool,Oklahoma,United States of America,74037,"Hotel Glenpool - Jenks, Oklahoma Hotel
Welcome to our hotel near Tulsa Air and Space Museum & Planetarium

Hotel Glenpool offers accommodation in Jenks. All rooms boast a flat-screen TV with cable channels and a private bathroom. The accommodation provides a 24-hour front desk as well as free WiFi throughout the property.

At the hotel, all rooms have a desk. Certain rooms are equipped with a kitchenette with a microwave and a toaster. Guest rooms will provide guests with a fridge.

A continental breakfast is served every morning at the property.

A business centre is at guests' disposal at Hotel Glenpool.

Tulsa is 11.80 mi from the accommodation, while Broken Arrow is 13 mi away. The nearest airport is Tulsa International Airport, 16.15 mi from Hotel Glenpool.
","WiFi, TV, Air Conditioning, Bathtub",0,-96.010165,35.986977
White River Inn,(970) 878-5031,"219 East Market Street, Meeker",Meeker,Colorado,United States of America,81641,"White River Inn is a quiet, clean, & comfortable Inn located in Meeker Colorado. We have 32 rooms, locally owned and operated for 20 years with your choice of one, two, and three queen sized beds. We are situated on 1.8 acres, so there is plenty of room to enjoy our well-maintained yard space and flower gardens. We guarantee that you’ll find our rooms the cleanest and quietest in the area. If you’re looking for a quiet, laid back atmosphere, you’ve found it.

WE HAVE COMPLETED REMODELING ALL OF OUR STANDARD ROOMS WITH NEW PAINT, LIGHTING ALL FURNITURE, CARPET, BEDDING, FLAT SCREEN TV’S AND DIRECT TV! WE NOW HAVE THE FRESHEST ROOMS IN TOWN!
","WiFi, TV, Air Conditioning, Bathtub, Barbecue",0,-107.904644,40.038149
Log Inn Bonners Ferry,(208) 267-3986,43 Tobe Way,Bonners Ferry,Idaho,United States of America,83805,"Bonners Ferry Log Inn is built for those who love exploring the incredible lakes, hiking trails and outdoor activities that Northern Idaho has to offer. Our accommodations are located 28 miles South of Canada's Kingsgate Border Crossing and 35 miles north of Sandpoint, Idaho. Our 22 custom log guestrooms are designed for adventurist and relaxation seekers alike. The Log Inn is a retreat and getaway to the great outdoors.","WiFi, TV, Air Conditioning",0,-116.303507,48.727429
