hotel_id,bed_type,url,description
1,King,https://www.wyndhamhotels.com/content/dam/property-images/en-us/se/us/ok/vinita/02946/02946_guest_room_6.jpg?downsize=1800:*,Our King room is perfect for couples or a small family. Come stay with us to relax or just get away. 
1,Queen,https://www.wyndhamhotels.com/content/dam/property-images/en-us/se/us/ok/vinita/02946/02946_guest_room_8.jpg?downsize=1800:*,These superior queen rooms have everything you need for a fabulous excursion. 
2,King,https://www.hotelcasamunras.com/resourcefiles/roomssmallimages/traditional-king-room-available-at-casa-munras-garden-hotel-spa-monterey-th.jpg,"Redesigning with inviting, Spanish decor this room features a plush king bed, granite bathroom, and a comfortabe work desk. Approximately 200 square feet."
2,Queen,https://www.hotelcasamunras.com/resourcefiles/roomssmallimages/traditional-queen-queen-room-available-at-casa-munras-garden-hotel-spa-monterey-th.jpg,"Timeless, hacienda-inspired decor adorns this room, featuring two queen beds, a granite bathroom, and are approximately 250 square feet. "
3,King,https://t-ec.bstatic.com/images/hotel/max1024x768/132/132467617.jpg,Our king size rooms are perfect for a night alone or for a happy couple.
3,Queen,https://images.trvl-media.com/hotels/1000000/910000/909400/909329/3f797618_z.jpg,These queen rooms serve the intended design use. 
4,King,https://s-ec.bstatic.com/images/hotel/max1024x768/108/108182176.jpg,"Oceanfront view, balcony, 32-inch LCD HDTV, work desk, coffeemaker, free WiFi, sofa bed

Take in impressive views of the Atlantic Ocean and white sandy beaches from the balcony of this comfortable room featuring a clean and fresh Hampton bed®. Watch a movie on the 32-inch LCD TV with HD channels and utilize the cozy sofa bed to sleep additional guests.

This room features a large work desk and free WiFi to allow you to catch up on business. The bathroom contains plush towels, a spacious dressing area and a shower with a curved shower rod, offering more space and light. Enjoy a cup of warm, fresh coffee from the coffee/tea maker in your room.
"
4,Queen,https://media.expedia.com/hotels/1000000/30000/26800/26716/26716_94_z.jpg,"Oceanfront view, balcony, 32-inch LCD HDTV, work desk, coffeemaker, free WiFi, seating area

Enjoy stunning ocean and beach views from the balcony of this comfortable room featuring two clean and fresh Hampton beds®. Unwind in the soft seating area and watch your favorite TV show on the 32-inch LCD TV with HD channels.

Catch up on business at the spacious work desk and stay connected with free WiFi. The bathroom offers a large dressing area, fluffy towels and a shower with a curved shower rod, providing more space and light when showering.

The room also includes a coffee/tea maker for your convenience.
"
5,King,https://thumbnails.trvl-media.com/fw2vzTKH2sLtF3JC6M7cJRzFHoE=/773x530/smart/filters:quality(60)/images.trvl-media.com/hotels/14000000/13110000/13100400/13100360/a5c794be_z.jpg,Unless you like to live on the edge don't sleep here alone. In the heart of the valley by Universal Studios. 
5,Queen,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/37/0d/65/blvd-signature-suite.jpg,Perfect place to stay for a family who does not want to spend the money for a place that is probably not that safe. Though we are located close to Hollywood and all the things people love to see. 
6,King,https://images.trvl-media.com/hotels/1000000/10000/1000/958/14367571_z.jpg,When you want to have a romantic night out but don't want to spend the money. This king room offers all the best Glendale has to offer. 
6,Queen,https://pix10.agoda.net/hotelImages/280186/32184398/cb68b7807736bb162c71dfe1d3b2fd33.jpg,Our two queen room is perfect for a family visiting LA. Enough space to stretch and relax. 
